customer_id,name,email,age,gender,city,registration_date
CUST_0001,Amir Kumar,amir.kumar1@email.com,55,F,Ahmedabad,2022-02-22
CUST_0002,Vihaan Malhotra,vihaan.malhotra2@email.com,54,F,Delhi,2022-06-27
CUST_0003,Ananya Kumar,ananya.kumar3@email.com,50,F,Kanpur,2022-01-07
CUST_0004,Sara Kumar,sara.kumar4@email.com,45,F,Nagpur,2022-11-22
CUST_0005,Arjun Nair,arjun.nair5@email.com,29,F,Jaipur,2022-11-12
CUST_0006,Ira Nair,ira.nair6@email.com,64,F,Jaipur,2022-06-15
CUST_0007,Aditya Gupta,aditya.gupta7@email.com,46,M,Ahmedabad,2023-01-20
CUST_0008,Navya Reddy,navya.reddy8@email.com,19,F,Visakhapatnam,2023-03-12
CUST_0009,Sai Desai,sai.desai9@email.com,31,F,Nagpur,2023-02-13
CUST_0010,Saanvi Gupta,saanvi.gupta10@email.com,56,F,Jaipur,2022-10-12
CUST_0011,Amir Kumar,amir.kumar11@email.com,33,M,Thane,2022-09-08
CUST_0012,Sara Joshi,sara.joshi12@email.com,63,M,Visakhapatnam,2022-08-18
CUST_0013,Aditya Gupta,aditya.gupta13@email.com,32,M,Indore,2022-12-21
CUST_0014,Diya Joshi,diya.joshi14@email.com,55,M,Nagpur,2022-08-31
CUST_0015,Myra Rao,myra.rao15@email.com,53,F,Kanpur,2022-06-30
CUST_0016,Aanya Gupta,aanya.gupta16@email.com,34,F,Ahmedabad,2022-03-03
CUST_0017,Saanvi Kumar,saanvi.kumar17@email.com,65,M,Kolkata,2022-04-09
CUST_0018,Sara Gupta,sara.gupta18@email.com,64,M,Lucknow,2022-02-21
CUST_0019,Diya Patel,diya.patel19@email.com,41,M,Kolkata,2022-06-04
CUST_0020,Arjun Gupta,arjun.gupta20@email.com,20,M,Delhi,2022-10-11
CUST_0021,Arjun Joshi,arjun.joshi21@email.com,49,F,Hyderabad,2023-03-23
CUST_0022,Diya Desai,diya.desai22@email.com,48,M,Bhopal,2022-06-24
CUST_0023,Vivaan Gupta,vivaan.gupta23@email.com,48,M,Hyderabad,2023-02-25
CUST_0024,Navya Desai,navya.desai24@email.com,22,M,Delhi,2022-03-19
CUST_0025,Diya Kumar,diya.kumar25@email.com,33,M,Hyderabad,2022-10-13
CUST_0026,Ayaan Malhotra,ayaan.malhotra26@email.com,51,F,Indore,2022-08-19
CUST_0027,Diya Agarwal,diya.agarwal27@email.com,55,F,Thane,2022-06-06
CUST_0028,Vihaan Malhotra,vihaan.malhotra28@email.com,31,M,Pune,2022-05-16
CUST_0029,Sai Patel,sai.patel29@email.com,29,M,Bangalore,2022-03-22
CUST_0030,Myra Desai,myra.desai30@email.com,62,M,Visakhapatnam,2022-05-30
CUST_0031,Ayaan Gupta,ayaan.gupta31@email.com,63,M,Lucknow,2022-12-26
CUST_0032,Aditya Joshi,aditya.joshi32@email.com,32,F,Jaipur,2023-02-08
CUST_0033,Myra Kumar,myra.kumar33@email.com,52,M,Ahmedabad,2022-11-28
CUST_0034,Aanya Agarwal,aanya.agarwal34@email.com,27,M,Bangalore,2022-01-31
CUST_0035,Diya Mehta,diya.mehta35@email.com,65,M,Lucknow,2022-08-13
CUST_0036,Ira Rao,ira.rao36@email.com,37,M,Indore,2023-04-28
CUST_0037,Sara Desai,sara.desai37@email.com,23,F,Delhi,2023-04-01
CUST_0038,Saanvi Mehta,saanvi.mehta38@email.com,34,F,Mumbai,2022-02-16
CUST_0039,Aarav Malhotra,aarav.malhotra39@email.com,61,M,Jaipur,2022-10-23
CUST_0040,Sai Desai,sai.desai40@email.com,51,M,Bhopal,2023-04-15
CUST_0041,Sai Mehta,sai.mehta41@email.com,45,F,Visakhapatnam,2023-05-12
CUST_0042,Sara Reddy,sara.reddy42@email.com,44,M,Kanpur,2022-06-14
CUST_0043,Sai Reddy,sai.reddy43@email.com,44,M,Visakhapatnam,2022-05-28
CUST_0044,Vivaan Desai,vivaan.desai44@email.com,23,F,Kanpur,2022-05-10
CUST_0045,Vihaan Malhotra,vihaan.malhotra45@email.com,43,F,Mumbai,2022-12-03
CUST_0046,Myra Sharma,myra.sharma46@email.com,30,F,Nagpur,2022-11-15
CUST_0047,Ira Malhotra,ira.malhotra47@email.com,21,F,Pune,2022-05-17
CUST_0048,Diya Desai,diya.desai48@email.com,62,M,Visakhapatnam,2022-03-04
CUST_0049,Ayaan Rao,ayaan.rao49@email.com,28,M,Lucknow,2022-10-10
CUST_0050,Myra Kumar,myra.kumar50@email.com,32,M,Hyderabad,2022-08-25
CUST_0051,Arjun Desai,arjun.desai51@email.com,63,M,Lucknow,2022-09-18
CUST_0052,Myra Agarwal,myra.agarwal52@email.com,48,F,Visakhapatnam,2022-05-05
CUST_0053,Arjun Nair,arjun.nair53@email.com,30,F,Chennai,2023-03-19
CUST_0054,Aanya Malhotra,aanya.malhotra54@email.com,44,M,Kanpur,2023-04-24
CUST_0055,Aarav Gupta,aarav.gupta55@email.com,64,F,Lucknow,2023-03-05
CUST_0056,Arjun Desai,arjun.desai56@email.com,52,F,Visakhapatnam,2022-06-26
CUST_0057,Navya Desai,navya.desai57@email.com,38,F,Pune,2022-12-24
CUST_0058,Navya Patel,navya.patel58@email.com,44,M,Delhi,2022-06-12
CUST_0059,Navya Nair,navya.nair59@email.com,60,F,Chennai,2022-09-11
CUST_0060,Arjun Shah,arjun.shah60@email.com,55,M,Kanpur,2023-03-22
CUST_0061,Ira Kumar,ira.kumar61@email.com,51,M,Bhopal,2022-01-08
CUST_0062,Myra Agarwal,myra.agarwal62@email.com,59,M,Chennai,2022-02-08
CUST_0063,Aanya Reddy,aanya.reddy63@email.com,57,F,Indore,2022-11-29
CUST_0064,Saanvi Agarwal,saanvi.agarwal64@email.com,61,M,Indore,2023-05-04
CUST_0065,Sara Agarwal,sara.agarwal65@email.com,52,F,Delhi,2022-11-13
CUST_0066,Ayaan Joshi,ayaan.joshi66@email.com,61,M,Lucknow,2022-04-27
CUST_0067,Myra Kumar,myra.kumar67@email.com,58,M,Hyderabad,2022-08-16
CUST_0068,Diya Iyer,diya.iyer68@email.com,19,M,Delhi,2022-06-16
CUST_0069,Diya Reddy,diya.reddy69@email.com,41,M,Thane,2022-03-16
CUST_0070,Myra Mehta,myra.mehta70@email.com,61,M,Kolkata,2022-03-29
CUST_0071,Aditya Mehta,aditya.mehta71@email.com,42,M,Ahmedabad,2022-09-12
CUST_0072,Ayaan Desai,ayaan.desai72@email.com,58,M,Jaipur,2022-08-24
CUST_0073,Aarav Iyer,aarav.iyer73@email.com,47,F,Lucknow,2022-12-13
CUST_0074,Aditya Desai,aditya.desai74@email.com,40,M,Lucknow,2022-11-24
CUST_0075,Aanya Desai,aanya.desai75@email.com,37,F,Pune,2022-07-16
CUST_0076,Vihaan Patel,vihaan.patel76@email.com,42,F,Nagpur,2022-10-22
CUST_0077,Diya Sharma,diya.sharma77@email.com,60,F,Indore,2022-05-21
CUST_0078,Vivaan Iyer,vivaan.iyer78@email.com,56,M,Visakhapatnam,2023-03-03
CUST_0079,Ayaan Mehta,ayaan.mehta79@email.com,40,F,Ahmedabad,2022-11-22
CUST_0080,Aanya Joshi,aanya.joshi80@email.com,64,M,Chennai,2022-11-18
CUST_0081,Vivaan Gupta,vivaan.gupta81@email.com,46,M,Delhi,2022-10-24
CUST_0082,Arjun Kumar,arjun.kumar82@email.com,36,F,Kanpur,2023-01-18
CUST_0083,Sai Patel,sai.patel83@email.com,26,F,Nagpur,2022-09-29
CUST_0084,Sai Gupta,sai.gupta84@email.com,48,F,Lucknow,2023-01-18
CUST_0085,Vihaan Desai,vihaan.desai85@email.com,22,F,Chennai,2023-01-22
CUST_0086,Navya Agarwal,navya.agarwal86@email.com,53,M,Nagpur,2022-02-16
CUST_0087,Aarav Gupta,aarav.gupta87@email.com,52,F,Hyderabad,2022-08-21
CUST_0088,Aanya Mehta,aanya.mehta88@email.com,42,F,Nagpur,2022-02-25
CUST_0089,Sara Sharma,sara.sharma89@email.com,57,M,Kanpur,2023-04-14
CUST_0090,Aditya Joshi,aditya.joshi90@email.com,47,M,Lucknow,2022-11-29
CUST_0091,Vihaan Singh,vihaan.singh91@email.com,20,F,Delhi,2022-06-05
CUST_0092,Vihaan Kumar,vihaan.kumar92@email.com,33,F,Chennai,2022-07-18
CUST_0093,Ananya Joshi,ananya.joshi93@email.com,65,F,Thane,2022-10-28
CUST_0094,Myra Joshi,myra.joshi94@email.com,24,M,Visakhapatnam,2022-11-12
CUST_0095,Aanya Sharma,aanya.sharma95@email.com,62,F,Nagpur,2022-04-22
CUST_0096,Ira Patel,ira.patel96@email.com,41,F,Hyderabad,2022-12-18
CUST_0097,Ananya Sharma,ananya.sharma97@email.com,43,F,Jaipur,2022-04-08
CUST_0098,Ira Kumar,ira.kumar98@email.com,60,M,Pune,2022-11-25
CUST_0099,Vivaan Malhotra,vivaan.malhotra99@email.com,39,M,Ahmedabad,2022-03-06
CUST_0100,Aditya Agarwal,aditya.agarwal100@email.com,53,M,Pune,2022-10-28
CUST_0101,Ayaan Reddy,ayaan.reddy101@email.com,27,M,Mumbai,2022-05-22
CUST_0102,Arjun Shah,arjun.shah102@email.com,34,M,Kolkata,2022-02-26
CUST_0103,Arjun Sharma,arjun.sharma103@email.com,40,M,Ahmedabad,2022-10-29
CUST_0104,Aarav Singh,aarav.singh104@email.com,34,F,Delhi,2022-03-06
CUST_0105,Vihaan Rao,vihaan.rao105@email.com,22,F,Visakhapatnam,2022-08-18
CUST_0106,Vihaan Desai,vihaan.desai106@email.com,50,F,Ahmedabad,2023-04-30
CUST_0107,Diya Desai,diya.desai107@email.com,59,M,Mumbai,2022-02-01
CUST_0108,Navya Nair,navya.nair108@email.com,61,F,Hyderabad,2022-09-09
CUST_0109,Aditya Iyer,aditya.iyer109@email.com,23,F,Kanpur,2022-11-08
CUST_0110,Aditya Singh,aditya.singh110@email.com,35,M,Kanpur,2022-07-15
CUST_0111,Ira Shah,ira.shah111@email.com,56,F,Thane,2022-02-20
CUST_0112,Amir Nair,amir.nair112@email.com,46,M,Ahmedabad,2022-07-31
CUST_0113,Ira Nair,ira.nair113@email.com,44,F,Hyderabad,2022-06-10
CUST_0114,Saanvi Joshi,saanvi.joshi114@email.com,34,F,Nagpur,2023-05-04
CUST_0115,Sara Kumar,sara.kumar115@email.com,23,M,Bangalore,2022-02-17
CUST_0116,Vihaan Rao,vihaan.rao116@email.com,65,F,Nagpur,2023-02-20
CUST_0117,Vivaan Mehta,vivaan.mehta117@email.com,53,M,Kanpur,2022-12-10
CUST_0118,Myra Reddy,myra.reddy118@email.com,60,M,Thane,2023-03-21
CUST_0119,Diya Mehta,diya.mehta119@email.com,37,M,Nagpur,2022-02-23
CUST_0120,Arjun Joshi,arjun.joshi120@email.com,48,M,Ahmedabad,2023-03-10
CUST_0121,Ananya Agarwal,ananya.agarwal121@email.com,53,M,Nagpur,2022-02-28
CUST_0122,Ayaan Malhotra,ayaan.malhotra122@email.com,45,F,Mumbai,2022-11-08
CUST_0123,Aarav Singh,aarav.singh123@email.com,35,F,Lucknow,2023-04-17
CUST_0124,Ananya Sharma,ananya.sharma124@email.com,29,F,Chennai,2022-10-17
CUST_0125,Aditya Singh,aditya.singh125@email.com,65,F,Mumbai,2022-02-16
CUST_0126,Navya Nair,navya.nair126@email.com,47,M,Kanpur,2022-03-22
CUST_0127,Diya Rao,diya.rao127@email.com,38,F,Bangalore,2023-03-29
